client_id,clinic_name,city,region,clinic_segment,source_customer_group
14052,Clínica 14052,Álava,Álava,small,1001
1000100724,Clínica 1000100724,Álava,Álava,small,1001
1000061782,Clínica 1000061782,Álava,Álava,small,1002
1000100667,Clínica 1000100667,Álava,Álava,small,1002
1000100675,Clínica 1000100675,Álava,Álava,small,1002
1000100686,Clínica 1000100686,Álava,Álava,small,1002
1000100689,Clínica 1000100689,Álava,Álava,small,1002
1000100695,Clínica 1000100695,Álava,Álava,small,1002
1000100697,Clínica 1000100697,Álava,Álava,small,1002
1000100722,Clínica 1000100722,Álava,Álava,small,1002
1000100669,Clínica 1000100669,Álava,Álava,small,1003
1000100683,Clínica 1000100683,Álava,Álava,small,1003
1000100690,Clínica 1000100690,Álava,Álava,small,1003
1000100694,Clínica 1000100694,Álava,Álava,small,1003
1000100701,Clínica 1000100701,Álava,Álava,small,1003
1000100715,Clínica 1000100715,Álava,Álava,small,1003
1000100717,Clínica 1000100717,Álava,Álava,small,1003
1000101828,Clínica 1000101828,Álava,Álava,medium,1003
38625,Clínica 38625,Álava,Álava,large,1004
1000100663,Clínica 1000100663,Álava,Álava,small,1004
1000100684,Clínica 1000100684,Álava,Álava,small,1004
1000100703,Clínica 1000100703,Álava,Álava,small,1004
14063,Clínica 14063,Álava,Álava,medium,1005
25096,Clínica 25096,Álava,Álava,small,1005
1000063247,Clínica 1000063247,Álava,Álava,small,1005
1000100664,Clínica 1000100664,Álava,Álava,small,1005
1000100668,Clínica 1000100668,Álava,Álava,small,1005
1000100671,Clínica 1000100671,Álava,Álava,small,1005
1000100685,Clínica 1000100685,Álava,Álava,small,1005
1000100699,Clínica 1000100699,Álava,Álava,small,1005
1000100720,Clínica 1000100720,Álava,Álava,small,1005
1000100910,Clínica 1000100910,Álava,Álava,small,1005
1000101132,Clínica 1000101132,Álava,Álava,small,1005
7931,Clínica 7931,Álava,Álava,medium,1006
1000100725,Clínica 1000100725,Álava,Álava,small,1006
1000102313,Clínica 1000102313,Álava,Álava,small,1006
1000102314,Clínica 1000102314,Álava,Álava,small,1006
24601,Clínica 24601,Álava,Álava,large,1007
7342,Clínica 7342,Álava,Álava,medium,1008
42359,Clínica 42359,Álava,Álava,medium,1008
42394,Clínica 42394,Álava,Álava,medium,1008
42483,Clínica 42483,Álava,Álava,large,1008
43264,Clínica 43264,Álava,Álava,small,1008
1000100673,Clínica 1000100673,Álava,Álava,small,1008
1000100704,Clínica 1000100704,Álava,Álava,small,1008
1000100719,Clínica 1000100719,Álava,Álava,small,1008
1000100726,Clínica 1000100726,Álava,Álava,small,1008
24468,Clínica 24468,Álava,Álava,large,1009
1000100714,Clínica 1000100714,Álava,Álava,small,1009
39082,Clínica 39082,Álava,Álava,large,1010
41445,Clínica 41445,Álava,Álava,large,1010
1000100672,Clínica 1000100672,Álava,Álava,small,1010
1000100680,Clínica 1000100680,Álava,Álava,small,1010
1000100706,Clínica 1000100706,Álava,Álava,small,1010
1000100728,Clínica 1000100728,Álava,Álava,small,1010
14039,Clínica 14039,Álava,Álava,small,1012
43193,Clínica 43193,Álava,Álava,small,1012
1000100681,Clínica 1000100681,Álava,Álava,small,1012
1000100698,Clínica 1000100698,Álava,Álava,small,1012
1000100705,Clínica 1000100705,Álava,Álava,small,1012
1000102374,Clínica 1000102374,Álava,Álava,small,1012
1000100723,Clínica 1000100723,Álava,Álava,small,1013
1000100662,Clínica 1000100662,Álava,Álava,small,1015
1000100692,Clínica 1000100692,Álava,Álava,small,1015
1000100727,Clínica 1000100727,Álava,Álava,small,1015
1000101238,Clínica 1000101238,Álava,Álava,medium,1015
1000100708,Clínica 1000100708,Álava,Álava,small,1170
1000100693,Clínica 1000100693,Álava,Álava,small,1200
1000100711,Clínica 1000100711,Álava,Álava,small,1200
1000100679,Clínica 1000100679,Álava,Álava,small,1240
1000100713,Clínica 1000100713,Álava,Álava,small,1330
41208,Clínica 41208,Álava,Álava,medium,1400
1000100676,Clínica 1000100676,Álava,Álava,small,1400
1000100682,Clínica 1000100682,Álava,Álava,small,1400
1000100707,Clínica 1000100707,Álava,Álava,small,1400
1000100712,Clínica 1000100712,Álava,Álava,small,1400
1000100721,Clínica 1000100721,Álava,Álava,small,1400
1000101199,Clínica 1000101199,Álava,Álava,medium,1400
40843,Clínica 40843,Álava,Álava,large,1470
1000100702,Clínica 1000100702,Álava,Álava,small,1470
1000100718,Clínica 1000100718,Álava,Álava,small,1470
1000100967,Clínica 1000100967,Álava,Álava,small,1474
8349,Clínica 8349,Albacete,Albacete,small,2001
9122,Clínica 9122,Albacete,Albacete,medium,2001
14017,Clínica 14017,Albacete,Albacete,small,2001
14083,Clínica 14083,Albacete,Albacete,medium,2001
18359,Clínica 18359,Albacete,Albacete,large,2001
21691,Clínica 21691,Albacete,Albacete,large,2001
28873,Clínica 28873,Albacete,Albacete,large,2001
32042,Clínica 32042,Albacete,Albacete,large,2001
39965,Clínica 39965,Albacete,Albacete,large,2001
1000078324,Clínica 1000078324,Albacete,Albacete,small,2001
1000079225,Clínica 1000079225,Albacete,Albacete,small,2001
1000080222,Clínica 1000080222,Albacete,Albacete,small,2001
1000082482,Clínica 1000082482,Albacete,Albacete,large,2001
1000100577,Clínica 1000100577,Albacete,Albacete,large,2001
9662,Clínica 9662,Albacete,Albacete,small,2002
14002,Clínica 14002,Albacete,Albacete,medium,2002
1000082036,Clínica 1000082036,Albacete,Albacete,large,2002
21756,Clínica 21756,Albacete,Albacete,medium,2002
25219,Clínica 25219,Albacete,Albacete,large,2002
29417,Clínica 29417,Albacete,Albacete,small,2002
42806,Clínica 42806,Albacete,Albacete,medium,2002
1000069746,Clínica 1000069746,Albacete,Albacete,large,2002
1000081309,Clínica 1000081309,Albacete,Albacete,small,2002
1000081580,Clínica 1000081580,Albacete,Albacete,small,2002
1000081874,Clínica 1000081874,Albacete,Albacete,small,2002
1000102391,Clínica 1000102391,Albacete,Albacete,small,2002
13993,Clínica 13993,Albacete,Albacete,small,2003
14076,Clínica 14076,Albacete,Albacete,small,2003
20335,Clínica 20335,Albacete,Albacete,large,2003
30651,Clínica 30651,Albacete,Albacete,medium,2003
42544,Clínica 42544,Albacete,Albacete,small,2003
1000069654,Clínica 1000069654,Albacete,Albacete,small,2003
1000070675,Clínica 1000070675,Albacete,Albacete,small,2003
1000073361,Clínica 1000073361,Albacete,Albacete,medium,2003
1000077867,Clínica 1000077867,Albacete,Albacete,medium,2003
1000079945,Clínica 1000079945,Albacete,Albacete,small,2003
1000080054,Clínica 1000080054,Albacete,Albacete,large,2003
1000080650,Clínica 1000080650,Albacete,Albacete,small,2003
1000081579,Clínica 1000081579,Albacete,Albacete,small,2003
6217,Clínica 6217,Albacete,Albacete,medium,2005
9759,Clínica 9759,Albacete,Albacete,small,2005
13991,Clínica 13991,Albacete,Albacete,medium,2005
13994,Clínica 13994,Albacete,Albacete,small,2005
23571,Clínica 23571,Albacete,Albacete,small,2005
23764,Clínica 23764,Albacete,Albacete,small,2005
42980,Clínica 42980,Albacete,Albacete,small,2005
1000078455,Clínica 1000078455,Albacete,Albacete,medium,2005
1000081305,Clínica 1000081305,Albacete,Albacete,medium,2005
1000100968,Clínica 1000100968,Albacete,Albacete,medium,2005
1000101637,Clínica 1000101637,Albacete,Albacete,small,2005
1000082065,Clínica 1000082065,Albacete,Albacete,small,2006
23388,Clínica 23388,Albacete,Albacete,medium,2100
1000102507,Clínica 1000102507,Albacete,Albacete,small,2110
1000080980,Clínica 1000080980,Albacete,Albacete,large,2200
7660,Clínica 7660,Albacete,Albacete,small,2400
14078,Clínica 14078,Albacete,Albacete,small,2400
24914,Clínica 24914,Albacete,Albacete,medium,2400
27842,Clínica 27842,Albacete,Albacete,medium,2400
36980,Clínica 36980,Albacete,Albacete,small,2400
1000064358,Clínica 1000064358,Albacete,Albacete,medium,2400
1000080316,Clínica 1000080316,Albacete,Albacete,small,2400
1000081065,Clínica 1000081065,Albacete,Albacete,small,2400
1000081976,Clínica 1000081976,Albacete,Albacete,small,2400
1000082006,Clínica 1000082006,Albacete,Albacete,medium,2400
1000100204,Clínica 1000100204,Albacete,Albacete,small,2400
42518,Clínica 42518,Albacete,Albacete,medium,2500
1000078992,Clínica 1000078992,Albacete,Albacete,small,2500
1000081063,Clínica 1000081063,Albacete,Albacete,small,2500
1000082451,Clínica 1000082451,Albacete,Albacete,medium,2510
8428,Clínica 8428,Albacete,Albacete,small,2600
24141,Clínica 24141,Albacete,Albacete,small,2600
40704,Clínica 40704,Albacete,Albacete,small,2600
1000071420,Clínica 1000071420,Albacete,Albacete,medium,2600
1000079668,Clínica 1000079668,Albacete,Albacete,small,2600
1000100088,Clínica 1000100088,Albacete,Albacete,small,2610
1000065775,Clínica 1000065775,Albacete,Albacete,medium,2611
1000073464,Clínica 1000073464,Albacete,Albacete,small,2630
1000080797,Clínica 1000080797,Albacete,Albacete,large,2630
13989,Clínica 13989,Albacete,Albacete,small,2640
22216,Clínica 22216,Albacete,Albacete,large,2640
33172,Clínica 33172,Albacete,Albacete,large,2640
41635,Clínica 41635,Albacete,Albacete,large,2640
1000069225,Clínica 1000069225,Albacete,Albacete,small,2640
1000101240,Clínica 1000101240,Albacete,Albacete,medium,2640
1000101815,Clínica 1000101815,Albacete,Albacete,small,2640
42494,Clínica 42494,Albacete,Albacete,large,2650
17642,Clínica 17642,Albacete,Albacete,small,2660
27623,Clínica 27623,Albacete,Albacete,small,2660
1000081398,Clínica 1000081398,Albacete,Albacete,small,2660
9948,Clínica 9948,Alicante,Alicante,large,3001
11526,Clínica 11526,Alicante,Alicante,medium,3001
22746,Clínica 22746,Alicante,Alicante,medium,3001
28628,Clínica 28628,Alicante,Alicante,large,3001
40442,Clínica 40442,Alicante,Alicante,large,3001
42910,Clínica 42910,Alicante,Alicante,small,3001
43289,Clínica 43289,Alicante,Alicante,small,3001
1000073996,Clínica 1000073996,Alicante,Alicante,large,3001
1000075253,Clínica 1000075253,Alicante,Alicante,medium,3001
1000080549,Clínica 1000080549,Alicante,Alicante,small,3001
1000080615,Clínica 1000080615,Alicante,Alicante,small,3001
1000080899,Clínica 1000080899,Alicante,Alicante,medium,3001
1000082026,Clínica 1000082026,Alicante,Alicante,medium,3001
1000100008,Clínica 1000100008,Alicante,Alicante,large,3001
1000100165,Clínica 1000100165,Alicante,Alicante,small,3001
1000100404,Clínica 1000100404,Alicante,Alicante,small,3001
1000101198,Clínica 1000101198,Alicante,Alicante,medium,3001
1000101845,Clínica 1000101845,Alicante,Alicante,small,3001
1000102123,Clínica 1000102123,Alicante,Alicante,small,3001
1000076626,Clínica 1000076626,Alicante,Alicante,medium,3002
8532,Clínica 8532,Alicante,Alicante,small,3003
10126,Clínica 10126,Alicante,Alicante,medium,3003
26657,Clínica 26657,Alicante,Alicante,large,3003
27283,Clínica 27283,Alicante,Alicante,small,3003
28967,Clínica 28967,Alicante,Alicante,small,3003
36597,Clínica 36597,Alicante,Alicante,small,3003
36847,Clínica 36847,Alicante,Alicante,small,3003
42931,Clínica 42931,Alicante,Alicante,small,3003
1000066196,Clínica 1000066196,Alicante,Alicante,small,3003
1000073888,Clínica 1000073888,Alicante,Alicante,small,3003
1000078843,Clínica 1000078843,Alicante,Alicante,small,3003
1000080932,Clínica 1000080932,Alicante,Alicante,small,3003
1000081150,Clínica 1000081150,Alicante,Alicante,small,3003
1000081494,Clínica 1000081494,Alicante,Alicante,small,3003
1000100007,Clínica 1000100007,Alicante,Alicante,medium,3003
1000100525,Clínica 1000100525,Alicante,Alicante,small,3003
1000100931,Clínica 1000100931,Alicante,Alicante,small,3003
1000101168,Clínica 1000101168,Alicante,Alicante,small,3003
1000102251,Clínica 1000102251,Alicante,Alicante,small,3003
14356,Clínica 14356,Alicante,Alicante,medium,3004
1000058038,Clínica 1000058038,Alicante,Alicante,medium,3004
1000081216,Clínica 1000081216,Alicante,Alicante,large,3004
1000100062,Clínica 1000100062,Alicante,Alicante,small,3004
1000102030,Clínica 1000102030,Alicante,Alicante,small,3004
28151,Clínica 28151,Alicante,Alicante,small,3005
1000076321,Clínica 1000076321,Alicante,Alicante,large,3005
